# CREATED_DATE: 2018-03-19T18:54:52.943Z
# MODIFIED_DATE: 2021-10-01T22:11:18.694Z
# STATUS: FollowupFinished
# OBS_GROUP: Unknown
# NON_DETECT_BAND: Gaia-Photometric - G
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: SN Ia
# CONTEXT_CLASS: None
# BEST_SPECTRUM: None
# HOST: Host: NGC 5861; (15:09:16.09, -11:19:18.01)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: Foundation
# NAME: 2017erp
# RA: 227.311708333333
# DEC: -11.3342222222222
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2017-06-13T15:01:28Z
# REDSHIFT: 0.006174
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2017-03-08T15:00:00Z
# NON_DETECT_LIMIT: 21.5
# MW_EBV: 0.0925
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: None
# POSTAGE_STAMP_REF: None
# POSTAGE_STAMP_DIFF: None
# POSTAGE_STAMP_FILE_FITS: None
# POSTAGE_STAMP_REF_FITS: None
# POSTAGE_STAMP_DIFF_FITS: None
# K2_VALIDATED: None
# K2_MSG: 
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: 0.012
# SLUG: 2017erp
# REAL_BOGUS_SCORE: None
# HAS_HST: True
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [11, 13, 19]

VARLIST:  MJD		 FLT  FLUXCAL	FLUXCALERR	  MAG	  MAGERR	 MAGSYS	  TELESCOPE	   INSTRUMENT
OBS:	  57975.405	B	22443.403  236.106	16.622  0.011	None	Siding_Spring_1m	Sinistro
OBS:	  57975.409	V	68989.845  441.630	15.403  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  57975.414	gp	35392.293  246.609	16.127  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  57975.418	rp	82718.756  451.297	15.206  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  57975.421	ip	78193.437  471.277	15.267  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  57980.999	B	19758.781  331.300	16.761  0.018	None	Siding_Spring_1m	Sinistro
OBS:	  57981.005	V	59306.543  479.350	15.567  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  57981.008	gp	31934.092  278.065	16.240  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  57981.012	rp	67953.477  484.961	15.419  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  57981.015	ip	61436.091  468.726	15.529  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  57985.761	B	18789.454  229.642	16.815  0.013	None	Siding_Spring_1m	Sinistro
OBS:	  57985.765	V	53047.577  419.176	15.688  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  57985.767	gp	29808.756  231.261	16.314  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  57985.772	rp	59415.586  570.157	15.565  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  57985.774	ip	155239.632  155239.632	14.522  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  57990.987	B	16798.032  357.660	16.937  0.023	None	Siding_Spring_1m	Sinistro
OBS:	  57990.991	V	46405.369  448.708	15.834  0.011	None	Siding_Spring_1m	Sinistro
OBS:	  57990.993	gp	27718.288  265.091	16.393  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  57990.998	rp	49629.207  387.052	15.761  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  57991.000	ip	42734.676  398.181	15.923  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  57995.753	B	17528.853  357.485	16.890  0.022	None	Siding_Spring_1m	Sinistro
